task_id,graph_family,cost,score,valid_train,valid_arcgen_sample,model_sha256,compressed_size,uncompressed_size
147,compact artifact selection,910,18.186555400489,True,True,e65dc2d49c2dd32775575699e73cb1ad0aca1fcca0a87fcec26127b52f631670,426,3825
148,compact artifact selection,22002,15.001111362701,True,True,f061fc72645a026db5024009b3fe3fa22977ce435c692738764980ec1c64c739,1464,7103
149,compact artifact selection,235,19.540414485856,True,True,a9e214c2415bbd786d331e13db338f9133ce61b02a421f927476fa09d5ac759e,300,764
150,compact artifact selection,700,18.448919664957,True,True,523e1a40d3248c75bf4fcb3871550ef4ed4048e85dc8b350501db41422c5a150,353,577
151,compact artifact selection,910,18.186555400489,True,True,265a8eb2b997ae3dae68af150413ae0c0301bc004251e92a8beb0dc79bd2e36b,375,3880
152,compact artifact selection,1521,17.672876707741,True,True,24231ad80d28ca283d124667ff13ec585852358ca3c68c2a91f3709a710d8139,288,703
153,compact artifact selection,20583,15.067779228641,True,True,8cc6f6170eaab21be495649a086563b09037a4ade5b53dedefcc869bc8f77dab,2718,8954
154,typed tail and graph surgery,12618,15.557120355069,True,True,d2f9a3f7d7359b5edaa944dd343fa07af0e180433d35e8aceab0e68b92c67de6,1176,3213
155,compact artifact selection,700,18.448919664957,True,True,2b8d8de07b529a5602737e9fa30684b427f2dc1c382cbdaca877976c12a3f977,353,577
156,compact artifact selection,23277,14.944778972438,True,True,3bc93d1b96d466f2312039643a4390160527b490e4f2dd26faf3eed8f269771b,4377,25617
157,optimizer and simplifier passes,51538,14.149925321358,True,True,5a3af87ba37e4fcaed34f03f021951a1b80b254c6a3de13950c478f5b32f02c2,30601,225860
158,typed tail and graph surgery,157143,13.035088502196,True,True,350b5dca93fff4a04463da97342392f6c68f6334bc088be07f45983d3196b9d8,4375,22053
159,compact artifact selection,61517,13.972931161639,True,True,faa2fb39597bc5895efdebb30971703a4f6d87ca317a8cb14035dda5f22b8984,1628,4961
160,compact artifact selection,4486,16.591283284920,True,True,7c5f139ec160d0db1c449253d39e27c379b563235fb8a73f12d04e8f03d567fc,720,2109
161,optimizer and simplifier passes,30631,14.670232152975,True,True,802eb49c2c5d5e363d106d154b5a3c3d7a97f614e7c443dd08b7448c64f8b4f1,1263,4780
162,compact artifact selection,52227,14.136645118473,True,True,8e37d8f660dcb1cfdc900d1701a9d03ed2c7a4da6f56cb16f6de77ac40b001f4,824,2011
163,compact artifact selection,23949,14.916318151686,True,True,2ad9ef8debfed3fbb5566936ea561e61ac22f7ba01a68df663b0ea6271988fb9,1673,8017
164,compact artifact selection,30,21.598802618338,True,True,250771b94d3db4658d4ac04e3bd9a0740f2af0f3aba0bb9b5df4d6181bb470d4,166,479
165,typed tail and graph surgery,56521,14.057632470506,True,True,b0ddd5d3e0e9b1a45c65e47adc3539ed295e46c2c867cea94ac5c2012eaed8d8,1251,4055
166,typed tail and graph surgery,11029,15.691716553694,True,True,bfd28dc76c50eb99b14feb3e9e2c656e687214c14672214746819a1817ebcb4c,842,2753
167,compact artifact selection,496,18.793424073275,True,True,3854bd97850d18878954da7cd6b0c37b99d0ccc20323ae592664fd4da37143f7,610,1342
168,compact artifact selection,20403,15.076562772156,True,True,24e27e72411c8561da75b446c8d7253b7581784b14d9d8063097e06ac83fac71,1217,4620
169,compact artifact selection,14680,15.405758697831,True,True,9af8492dd7c7aa4c4cb0992e5660e1b02e4db82f1c8c89397732854fe718d6c6,1287,5361
170,compact artifact selection,51127,14.157931987616,True,True,a6b15ee8dffa146fd46201a90d68fffefaee1e4e54010c55f6d5843eef40242a,9030,50383
171,compact artifact selection,910,18.186555400489,True,True,c0dccfce69e87e53b68a617cc0ce6da5c9659180ce2acc2a46007c9915c524cb,243,3825
172,compact artifact selection,30,21.598802618338,True,True,aa923630b6479cf1a1f5e7b7bfe2e4947e1c8ba8edba4f31d250b0b2f0c98dde,166,479
173,compact artifact selection,78028,13.735176984385,True,True,750ee7e9d5cb7ce597d2a1356dd84bbe85b592d7b8f8b382681e7f23778bce1b,7489,21905
174,optimizer and simplifier passes,32743,14.603555522240,True,True,9e4ffbfff83c738e12bdfa6e1a046b0afaeafd5156c77a0f15c959686f574030,2180,7400
175,optimizer and simplifier passes,55793,14.070596307529,True,True,3d0a23921a2a3396c2a340323bd98f584f119dff29ce06f28bfa2411325c984b,1137,6291
176,compact artifact selection,7920,16.022853515192,True,True,e323248617622d6f3ec11b2d387952fea83ecc2fed3bdb998ca12143a2168c6b,471,1126
177,compact artifact selection,34202,14.559960599127,True,True,ed9d36b49e35615b1c103ae6939e3156095eba0a9428c877bae39635cd53fa02,1136,3313
178,typed tail and graph surgery,12344,15.579074605957,True,True,6fb126e5c0c09efd402cb8db6473a76ae178af5dbd7086568882e310236cbc15,1245,4477
179,compact artifact selection,0,25.000000000000,True,True,bde695a21a93b9e2084a9b7e8a8bee5f2cdc694baa71a12d1c34ae921a89cb87,125,170
180,compact artifact selection,7450,16.084030688626,True,True,8f6b55aa41b48daa3c5bde2cf091752666c75e5b3b9acd0b61ce5c378a8988a7,2173,2525
181,compact artifact selection,1194,17.914935706047,True,True,d5e423513a6d975dcf970b7fa00306491312801ed8b9c3232bddaa05e5217ae9,949,3083
182,optimizer and simplifier passes,47587,14.229685106325,True,True,42774d36b7516027374222dd03588085e031c87d23dabee8e902c7af0eefde4c,3108,16365
183,compact artifact selection,24854,14.879226015634,True,True,09714bc00c03234ea99f8a9ce240a67cf4fb29942f020b0ba6f92f7a5f075145,920,3009
184,compact artifact selection,21012,15.047151017926,True,True,9f3a3feabad6901627b7462b14129b540b27091a90f635bc2c0ddc0ce9f605f5,1766,6553
185,optimizer and simplifier passes,34977,14.537554018399,True,True,d4268aa2cb8b3a4c80a40b5963338a6215b234c49474892e495196fa2b068b86,1482,4493
186,compact artifact selection,360,19.113895968550,True,True,b72f9ce7b666f25d994b070bb87fd22c84bcbc53bda0b7a249c357f645fe0700,463,888
187,compact templates,81013,13.697635085396,True,True,08235cd8b5985a3b203dfccdf73469a8a1e9f1b3a6015ede5d3a2a746dd0da3e,1217,6338
188,compact artifact selection,10664,15.725371138141,True,True,b5aedf9a8411d84cd20d8bded8746b6a16044a019d7d5352e049a9c98ef96837,1070,3259
